country,year,life-expectancy
Aruba,1960,65.56936585
Afghanistan,1960,32.3285122
Angola,1960,32.98482927
Albania,1960,62.25436585
Arab World,1960,46.85277979
United Arab Emirates,1960,52.24321951
Argentina,1960,65.21553659
Armenia,1960,65.86346342
Antigua and Barbuda,1960,61.78273171
Australia,1960,70.81707317
Austria,1960,68.58560976
Azerbaijan,1960,60.8362439
Burundi,1960,41.23604878
Belgium,1960,69.70195122
Benin,1960,37.27826829
Burkina Faso,1960,34.47790244
Bangladesh,1960,45.82931707
Bulgaria,1960,69.24756098
Bahrain,1960,52.08936585
Bahamas,1960,62.72904878
Bosnia and Herzegovina,1960,60.27621951
Belarus,1960,67.70809756
Belize,1960,59.96136585
Bolivia,1960,42.11831707
Brazil,1960,54.20546342
Barbados,1960,60.73804878
Brunei Darussalam,1960,62.50036585
Bhutan,1960,32.35936585
Botswana,1960,50.54773171
Central African Republic,1960,36.48263415
Canada,1960,71.13317073
Central Europe and the Baltics,1960,67.82376209
Switzerland,1960,71.31341463
Channel Islands,1960,70.63978049
Chile,1960,57.45829268
China,1960,43.354
Cote d'Ivoire,1960,36.87241463
Cameroon,1960,41.5237561
Democratic Republic of the Congo,1960,41.01804878
Republic of the Congo,1960,48.58163415
Colombia,1960,56.7167561
Comoros,1960,41.44243902
Cabo Verde,1960,48.85641463
Costa Rica,1960,60.57619512
Caribbean small states,1960,62.31397199
Cuba,1960,63.90465854
Cyprus,1960,69.59392683
Czech Republic,1960,70.34878049
Germany,1960,69.31295122
Djibouti,1960,44.02126829
Denmark,1960,72.17658537
Dominican Republic,1960,51.84526829
Algeria,1960,46.13512195
East Asia & Pacific (excluding high income),1960,45.46758057
Early-demographic dividend,1960,45.1459128
East Asia & Pacific,1960,48.22888983
Europe & Central Asia (excluding high income),1960,63.40781619
Europe & Central Asia,1960,67.03494788
Ecuador,1960,53.215
Egypt,1960,48.01370732
Euro area,1960,69.27371101
Eritrea,1960,37.36290244
Spain,1960,69.10926829
Estonia,1960,67.90597561
Ethiopia,1960,38.40570732
European Union,1960,69.27954395
Fragile and conflict affected situations,1960,40.60412613
Finland,1960,68.8197561
Fiji,1960,55.95848781
France,1960,69.86829268
Micronesia,1960,57.58658537
Gabon,1960,39.57012195
United Kingdom,1960,71.12682927
Georgia,1960,63.43185366
Guinea,1960,34.88639024
Gambia,1960,32.04221951
Guinea-Bissau,1960,37.84043902
Equatorial Guinea,1960,36.73304878
Greece,1960,68.16390244
Grenada,1960,59.81592683
Guatemala,1960,45.53163415
Guam,1960,61.22634146
Guyana,1960,60.27873171
High income,1960,68.49941199
Hong Kong,1960,66.99970732
Honduras,1960,46.28831707
Heavily indebted poor countries (HIPC),1960,39.56138393
Croatia,1960,64.60865854
Haiti,1960,42.10009756
Hungary,1960,68.00317073
IBRD only,1960,48.52362233
IDA & IBRD total,1960,47.42782197
IDA total,1960,41.93335647
IDA blend,1960,43.63286024
Indonesia,1960,48.64031707
IDA only,1960,41.12326478
India,1960,41.17195122
Ireland,1960,69.6917561
